"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Sandomierz","PL","Rozwadow","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","21.75","50.683334","ADL3302177","22.05","50.5833","www.fallingrain.com","1102","2842","P000","tmcPLm1400_001a"
"Rozwadow","PL","Ulanow","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","22.05","50.5833","www.fallingrain.com","22.2667","50.4833","www.fallingrain.com","2842","2843","P000","tmcPLm1400_002a"
"Ulanow","PL","Krzeszow","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","22.2667","50.4833","www.fallingrain.com","22.35","50.4","www.fallingrain.com","2843","2845","P000","tmcPLm1400_003a"
"Krzeszow","PL","Tarnogrod","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","22.35","50.4","www.fallingrain.com","22.75","50.3667","www.fallingrain.com","2845","2849","P000","tmcPLm1400_004a"
"Tarnogrod","PL","Zamch","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","22.75","50.3667","www.fallingrain.com","23.0333","50.3167","www.fallingrain.com","2849","2850","P000","tmcPLm1400_005a"
"Zamch","PL","loc01-tmc050929","PL","?Lubaczow","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.0333","50.3167","www.fallingrain.com","23.1333","50.1667","www.fallingrain.com","2850","2851","P000","tmcPLm1400_006a"
"loc01-tmc050929","PL","loc02-tmc050929","UA","?Lubaczow","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.1333","50.1667","www.fallingrain.com","23.3833","49.9333","www.fallingrain.com","2851","2858","P000","tmcPLm1400_007a"
"loc02-tmc050929","UA","Grodek Jagiellonski","UA","?Yavoriv","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.3833","49.9333","www.fallingrain.com","23.65","49.783333","ADL4188475","2858","1357","P000","tmcPLm1400_008a"
"Grodek Jagiellonski","UA","Lwow","UA","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.65","49.783333","ADL4188475","24","49.833332","ADL4193862","1357","557","P000","tmcPLm1400_009a"
"Lublin","PL","loc03-tmc050929","PL","?Keblow Stary","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","22.566668","51.25","ADL3289297","22.8333","51.1333","www.fallingrain.com","858","2847","P000","tmcPLm1400_010a"
"loc03-tmc050929","PL","Krasnystaw","PL","?Keblow Stary","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","22.8333","51.1333","www.fallingrain.com","23.1833","50.9833","www.fallingrain.com","2847","2846","P000","tmcPLm1400_011a"
"Krasnystaw","PL","Wojslawice","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.1833","50.9833","www.fallingrain.com","23.55","50.9167","www.fallingrain.com","2846","2855","P000","tmcPLm1400_012a"
"Wojslawice","PL","Uchanie","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.55","50.9167","www.fallingrain.com","23.6333","50.9","www.fallingrain.com","2855","2844","P000","tmcPLm1400_013a"
"Uchanie","PL","Hrubieszow","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.6333","50.9","www.fallingrain.com","23.916668","50.799999","ADL3279125","2844","1203","P000","tmcPLm1400_014a"
"Hrubieszow","PL","loc04-tmc050929","PL","?Witkow","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.916668","50.799999","ADL3279125","23.9833","50.5833","www.fallingrain.com","1203","2856","P000","tmcPLm1400_015a"
"loc04-tmc050929","PL","Belz","UA","?Witkow","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.9833","50.5833","www.fallingrain.com","24.0167","50.3833","www.fallingrain.com","2856","2859","P000","tmcPLm1400_016a"
"Belz","UA","Mosty Wielkie","UA","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","24.0167","50.3833","www.fallingrain.com","24.15","50.2333","www.fallingrain.com","2859","2860","P000","tmcPLm1400_017a"
"Mosty Wielkie","UA","Zolkiew","UA","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","24.15","50.2333","www.fallingrain.com","23.9667","50.0667","www.fallingrain.com","2860","2861","P000","tmcPLm1400_018a"
"Zolkiew","UA","loc05-tmc050929","UA","?Kulikov","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","23.9667","50.0667","www.fallingrain.com","24.0833","49.9833","www.fallingrain.com","2861","2862","P000","tmcPLm1400_019a"
"loc05-tmc050929","UA","Lwow","UA","?Kulikov","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1200","1600","QB2","Herbst 1954:6-7","24.0833","49.9833","www.fallingrain.com","24","49.833332","ADL4193862","2862","557","P000","tmcPLm1400_020a"
"Zawichost","PL","Janow","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","21.85","50.799999","ADL3313936","22.416668","50.716667","ADL3279951","340","1336","P000","tmcPLm1400_021a"
"Janow","PL","Frampol","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","22.416668","50.716667","ADL3279951","22.6667","50.6833","www.fallingrain.com","1336","2857","P000","tmcPLm1400_022a"
"Frampol","PL","Szczebrzeszyn","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","22.6667","50.6833","www.fallingrain.com","22.9667","50.7","www.fallingrain.com","2857","2840","P000","tmcPLm1400_023a"
"Szczebrzeszyn","PL","Zamosc","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","22.9667","50.7","www.fallingrain.com","23.25","50.7167","www.fallingrain.com","2840","2848","P001","tmcPLm1400_024a"
"Zamosc","PL","loc06-tmc050929","PL","?Horyszow Ruski","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.25","50.7167","www.fallingrain.com","23.6167","50.75","www.fallingrain.com","2848","2854","P001","tmcPLm1400_025a"
"loc06-tmc050929","PL","Hrubieszow","PL","?Horyszow Ruski","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.6167","50.75","www.fallingrain.com","23.916668","50.799999","ADL3279125","2854","1203","P000","tmcPLm1400_026a"
"Hrubieszow","PL","Uscilug","UA","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.916668","50.799999","ADL3279125","24.15","50.8667","www.fallingrain.com","1203","2863","P000","tmcPLm1400_027a"
"Uscilug","UA","Wlodzimierz","UA","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","24.15","50.8667","www.fallingrain.com","24.333332","50.849998","ADL4209493","2863","705","P000","tmcPLm1400_028a"
"Lublin","PL","loc03-tmc050929","PL","?Keblow","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","22.566668","51.25","ADL3289297","22.8333","51.1333","www.fallingrain.com","858","2847","P000","tmcPLm1400_029a"
"loc03-tmc050929","PL","Krasnystaw","PL","?Keblow","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","22.8333","51.1333","www.fallingrain.com","23.1833","50.9833","www.fallingrain.com","2847","2846","P000","tmcPLm1400_030a"
"Krasnystaw","PL","Izbica","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.1833","50.9833","www.fallingrain.com","23.1667","50.8833","www.fallingrain.com","2846","2853","P000","tmcPLm1400_031a"
"Izbica","PL","Sitaniec","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.1667","50.8833","www.fallingrain.com","23.25","50.7667","www.fallingrain.com","2853","2841","P000","tmcPLm1400_032a"
"Sitaniec","PL","Zamosc","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.25","50.7667","www.fallingrain.com","23.25","50.7167","www.fallingrain.com","2841","2848","P001","tmcPLm1400_033a"
"Zamosc","PL","Labunie","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.25","50.7167","www.fallingrain.com","23.3667","50.65","www.fallingrain.com","2848","2852","P001","tmcPLm1400_034a"
"Labunie","PL","Tomaszow","PL","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.3667","50.65","www.fallingrain.com","23.416668","50.450001","ADL3307865","2852","1402","P000","tmcPLm1400_035a"
"Tomaszow","PL","Rawa Ruska","UA","nkn","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.416668","50.450001","ADL3307865","23.6167","50.25","www.fallingrain.com","1402","2865","P000","tmcPLm1400_036a"
"Rawa Ruska","UA","loc07-tmc050929","UA","?Dobrosin","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.6167","50.25","www.fallingrain.com","23.85","50.1333","www.fallingrain.com","2865","2864","P000","tmcPLm1400_037a"
"loc07-tmc050929","UA","Zolkiew","UA","?Dobrosin","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.85","50.1333","www.fallingrain.com","23.9667","50.0667","www.fallingrain.com","2864","2861","P000","tmcPLm1400_038a"
"Zolkiew","UA","loc05-tmc050929","UA","?Kulikov","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","23.9667","50.0667","www.fallingrain.com","24.0833","49.9833","www.fallingrain.com","2861","2862","P000","tmcPLm1400_039a"
"loc05-tmc050929","UA","Lwow","UA","?Kulikov","trd","cd","maj","A000","B000","C000","nkn","d000dd","nkn","t000t","1580","1700","QB2","Herbst 1954:6-7","24.0833","49.9833","www.fallingrain.com","24","49.833332","ADL4193862","2862","557","P000","tmcPLm1400_040a"
